,0
624,"title:Biorefinery of anaerobic digestate in a circular bioeconomy: Opportunities, challenges and perspectives,abstract:Renewable and Sustainable Energy Reviews, 166 (2022) 112642. doi:10.1016/j.rser.2022.112642"
625,"title:Biorefinery-oriented full utilization of food waste and sewage sludge by integrating anaerobic digestion and combustion: Synergistic enhancement and energy evaluation,abstract:Journal of Cleaner Production, 380 (2022) 134925. doi:10.1016/j.jclepro.2022.134925"
626,"title:Biotic and abiotic dynamics of a high solid-state anaerobic digestion box-type container system,abstract:Waste Management, 49 (2016) 26-35. doi:10.1016/j.wasman.2016.01.039"
627,"title:Biotic and abiotic dynamics of a high solid-state anaerobic digestion box-type container system,abstract:Waste Management, 49 (2016) 26-35. doi:10.1016/j.wasman.2016.01.039"
628,"title:Biowaste-to-biomethane or biowaste-to-energy? An LCA study on anaerobic digestion of organic waste,abstract:Journal of Cleaner Production, 174 (2018) 462-476. doi:10.1016/j.jclepro.2017.10.320"
629,"title:Blending based optimisation and pretreatment strategies to enhance anaerobic digestion of poultry manure,abstract:Waste Management, 71 (2018) 521-531. doi:10.1016/j.wasman.2017.11.002"
630,"title:Boosting biomethane yield and production rate with graphene: The potential of direct interspecies electron transfer in anaerobic digestion,abstract:Bioresource Technology, 239 (2017) 345-352. doi:10.1016/j.biortech.2017.05.017"
631,"title:Boosting d-lactate production in engineered cyanobacteria using sterilized anaerobic digestion effluents,abstract:BIORESOURCE TECHNOLOGY, 169 (2014) 462-467. doi:10.1016/j.biortech.2014.07.003"
632,"title:Breakthrough in hydrolysis of waste biomass by physico-chemical pretreatment processes for efficient anaerobic digestion,abstract:Chemosphere, 294 (2022) 133617. doi:10.1016/j.chemosphere.2022.133617"
633,"title:Breakthrough in hydrolysis of waste biomass by physico-chemical pretreatment processes for efficient anaerobic digestion,abstract:Chemosphere, 294 (2022) 133617. doi:10.1016/j.chemosphere.2022.133617"
634,"title:Calcined eggshells in anaerobic digestion: Buffering acidification in AD and evaluating end products from phosphate adsorption as soil conditioners,abstract:Journal of Environmental Chemical Engineering, 10 (2022) 107957. doi:10.1016/j.jece.2022.107957"
635,"title:Calcium ion can alleviate ammonia inhibition on anaerobic digestion via balanced-strengthening dehydrogenases and reinforcing protein-binding structure: Model evaluation and microbial characterization,abstract:Bioresource Technology, 354 (2022) 127165. doi:10.1016/j.biortech.2022.127165"
636,"title:Calcium peroxide pre-treatment improved the anaerobic digestion of primary sludge and its co-digestion with waste activated sludge,abstract:Science of the Total Environment, 828 (2022) 154404. doi:10.1016/j.scitotenv.2022.154404"
637,"title:Calcium peroxide pre-treatment improved the anaerobic digestion of primary sludge and its co-digestion with waste activated sludge,abstract:Science of the Total Environment, 828 (2022) 154404. doi:10.1016/j.scitotenv.2022.154404"
638,"title:Calibration of the Anaerobic Digestion Model No. 1 for anaerobic digestion of organic fraction of municipal solid waste under mesophilic condition,abstract:Biomass and Bioenergy, 139 (2020) 105661. doi:10.1016/j.biombioe.2020.105661"
639,"title:Calibration of the Anaerobic Digestion Model No. 1 (ADM1) for steady-state anaerobic co-digestion of municipal wastewater sludge with restaurant grease trap waste,abstract:Chemical Engineering Journal, 266 (2015) 91-99. doi:10.1016/j.cej.2014.12.080"
640,"title:Calibration of the Anaerobic Digestion Model No. 1 (ADM1) for steady-state anaerobic co-digestion of municipal wastewater sludge with restaurant grease trap waste,abstract:Chemical Engineering Journal, 266 (2015) 91-99. doi:10.1016/j.cej.2014.12.080"
641,"title:Can anaerobic digestion be a suitable end-of-life scenario for biodegradable plastics? A critical review of the current situation, hurdles, and challenges,abstract:Biotechnology Advances, 56 (2022) 107916. doi:10.1016/j.biotechadv.2022.107916"
642,"title:Can bioavailability of trace nutrients be measured in anaerobic digestion?,abstract:Applied Energy, 126 (2014) 190-198. doi:10.1016/j.apenergy.2014.03.070"
643,"title:Can hydrothermal pretreatment improve anaerobic digestion for biogas from lignocellulosic biomass?,abstract:Bioresource Technology, 249 (2017) 117-124. doi:10.1016/j.biortech.2017.09.197"
644,"title:Carbon cloth amendment for boosting high-solids anaerobic digestion with percolate recirculation: Spatial patterns of microbial communities,abstract:Chemosphere, 307 (2022) 135606. doi:10.1016/j.chemosphere.2022.135606"
645,"title:Carbon dioxide rich microbubble acceleration of biogas production in anaerobic digestion,abstract:Chemical Engineering Science, 156 + (2016) 24-35. doi:10.1016/j.ces.2016.09.011"
646,"title:Catalytic pyrolysis of biomass using fly ash leachate to increase carbon monoxide production and improve biochar properties to accelerate anaerobic digestion,abstract:Bioresource Technology, 387 (2023) 129583. doi:10.1016/j.biortech.2023.129583"
647,"title:Cellulose accessibility and microbial community in solid state anaerobic digestion of rape straw,abstract:Bioresource Technology, 223 (2017) 192-201. doi:10.1016/j.biortech.2016.10.009"
648,"title:Cellulose accessibility and microbial community in solid state anaerobic digestion of rape straw,abstract:Bioresource Technology, 223 (2017) 192-201. doi:10.1016/j.biortech.2016.10.009"
649,"title:CFD Modeling of a Stirred Anaerobic Digestion Tank for Evaluating Energy Consumption through Mixing,abstract:The anaerobic digestion process is an effective means to eliminate the detrimental impacts of cattle manure discharge into the environment, i.e., biochemical contamination and substantial methane emissions, the latter leading to global warming. For proper operation of anaerobic digesters, an efficient mixing provides a relatively homogenous mixture of the feedstock within the tank. This study aims to investigate the mixing process and the total energy consumption needed for stirring by using an asymmetrical mixer. A further objective is to analyze the formation of stagnant volume and the velocity gradient in the digester in order to assure the mixing efficiency of the mixer type. The computational model is implemented as the finite volume method, and the rheological properties of the feedstock are considered. The results are validated by comparing the on-site power consumption of the mixer with the values obtained by the numerical torque. At various mixer speeds, the dead volume does not exceed 0.5% of the digester tank; however, with the increase of the mixer rotation speed, the energy consumption of the mixer increases drastically."
650,"title:CFD Modeling of a Stirred Anaerobic Digestion Tank for Evaluating Energy Consumption through Mixing,abstract:The anaerobic digestion process is an effective means to eliminate the detrimental impacts of cattle manure discharge into the environment, i.e., biochemical contamination and substantial methane emissions, the latter leading to global warming. For proper operation of anaerobic digesters, an efficient mixing provides a relatively homogenous mixture of the feedstock within the tank. This study aims to investigate the mixing process and the total energy consumption needed for stirring by using an asymmetrical mixer. A further objective is to analyze the formation of stagnant volume and the velocity gradient in the digester in order to assure the mixing efficiency of the mixer type. The computational model is implemented as the finite volume method, and the rheological properties of the feedstock are considered. The results are validated by comparing the on-site power consumption of the mixer with the values obtained by the numerical torque. At various mixer speeds, the dead volume does not exceed 0.5% of the digester tank; however, with the increase of the mixer rotation speed, the energy consumption of the mixer increases drastically."
651,"title:Change to biogas production in solid-state anaerobic digestion using rice straw as substrates at different temperatures,abstract:Bioresource Technology, 293 (2020) 122066. doi:10.1016/j.biortech.2019.122066"
652,"title:Changes in Nitrogen Availability in Chernozemic Soils Amended with Anaerobically Digested Cattle Manure,abstract:Soil Science Soc of Amer J 2014.78:843-851"
653,"title:Changes in the microbial communities during co-composting of digestates,abstract:Waste Management, 34 (2014) 632-641. doi:10.1016/j.wasman.2013.12.009"
654,"title:Changes of heavy metal speciation during high-solid anaerobic digestion of sewage sludge,abstract:Bioresource Technology, 131 (2013) 152-158. doi:10.1016/j.biortech.2012.12.112"
655,"title:Changes of resistome, mobilome and potential hosts of antibiotic resistance genes during the transformation of anaerobic digestion from mesophilic to thermophilic,abstract:Water Research, 98 (2016) 261-269. doi:10.1016/j.watres.2016.04.031"
656,"title:Characterisation of microbial communities for improved management of anaerobic digestion of food waste,abstract:Waste Management, 117 (2020) 124-135. doi:10.1016/j.wasman.2020.07.047"
657,"title:Characteristics of digested sludge-derived biochar for promoting methane production during anaerobic digestion of waste activated sludge,abstract:Bioresource Technology, 384 (2023) 129245. doi:10.1016/j.biortech.2023.129245"
658,"title:Characteristics of dissolved organic matter formed in aerobic and anaerobic digestion of excess activated sludge,abstract:Chemosphere, 168 (2017) 1022-1031. doi:10.1016/j.chemosphere.2016.10.108"
659,"title:Characteristics of dissolved organic matter formed in aerobic and anaerobic digestion of excess activated sludge,abstract:Chemosphere, 168 (2017) 1022-1031. doi:10.1016/j.chemosphere.2016.10.108"
660,"title:Characteristics of the organic fraction of municipal solid waste and methane production: A review,abstract:Waste Management, 54 (2016) 3-12. doi:10.1016/j.wasman.2016.05.016"
661,"title:Characteristics of volatile fatty acids in stored dairy manure before and after anaerobic digestion,abstract:Biosystems Engineering, 118 (2014) 16-28. doi:10.1016/j.biosystemseng.2013.11.004"
662,"title:Characterization of methanogenic activity during high-solids anaerobic digestion of sewage sludge,abstract:Biochemical Engineering Journal, 109 (2016) 96-100. doi:10.1016/j.bej.2016.01.010"
663,"title:Characterization of methanogenic activity during high-solids anaerobic digestion of sewage sludge,abstract:Biochemical Engineering Journal, 109 (2016) 96-100. doi:10.1016/j.bej.2016.01.010"
664,"title:Characterization of municipal biowaste categories for their capacity to be converted into a feedstock aqueous slurry to produce methane by anaerobic digestion,abstract:Science of the Total Environment, 716 (2020) 137084. doi:10.1016/j.scitotenv.2020.137084"
665,"title:Characterization of the sulfate reduction process in the anaerobic digestion of a very high strength and sulfate rich vinasse,abstract:CHEMICAL ENGINEERING JOURNAL, 248 (2014) 383-393. doi:10.1016/j.cej.2014.03.057"
666,"title:Characterization of the sulfate reduction process in the anaerobic digestion of a very high strength and sulfate rich vinasse,abstract:CHEMICAL ENGINEERING JOURNAL, 248 (2014) 383-393. doi:10.1016/j.cej.2014.03.057"
667,"title:Characterizing molecular transformation of dissolved organic matter during high-solid anaerobic digestion of dewatered sludge using ESI FT-ICR MS,abstract:Chemosphere, 320 (2023) 138101. doi:10.1016/j.chemosphere.2023.138101"
668,"title:Characterizing the variability of food waste quality: A need for efficient valorisation through anaerobic digestion,abstract:Waste Management, 50 (2016) 264-274. doi:10.1016/j.wasman.2016.01.041"
669,"title:Chemical and spectroscopic characterization of organic matter during the anaerobic digestion and successive composting of pig slurry,abstract:Waste Management, 34 (2014) 653-660. doi:10.1016/j.wasman.2013.12.001"
